Coptic,English,File Path,Start Line,End Line
ⲉⲛⲉⲉⲓⲙⲉ ⲇⲉ ϫⲉⲧⲁⲛⲁⲧⲟⲗⲏ ⲁⲛⲟⲛ ⲛⲉⲧϩⲙⲡⲕⲁⲕⲉ ⲙⲛⲧϩⲁⲓⲃⲉⲥ ⲙⲡⲙⲟⲩ ·,"Let us then, we who are in the darkness and shadow of death, know the east",pseudo-flavianus/pseudo.flavianus_CONLLU/psflavianus.encomium.02.conllu,5424,5447
ϫⲉⲁⲩⲧⲁⲁⲕ ⲉⲧⲟⲟⲧ ϩⲱⲥ ⲙⲁⲅⲟⲥ ·,They delivered thee over into my hands as a magician.,martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.07.conllu,200,209
ⲛⲉⲕⲕⲁⲑⲏⲅⲉⲓ ⲡⲉ ⲛⲛⲉⲧⲛⲏⲩ ϣⲁⲣⲟⲕ · ϣⲁⲣⲟⲕ ⲧⲏⲣⲟⲩ ⲡⲉ ⲉⲣⲡⲓⲥⲧⲟⲥ ·,"Thou didst guide those who came unto Thee, all those who acted faithfully.",life-pisentius/life.pisentius_CONLLU/life.pisentius.01.conllu,9003,9027
ϥⲕⲉⲗⲉⲩⲉ ⲛϭⲓⲡⲇⲟⲩⲝ ⲉⲧⲣⲉⲩⲉⲓⲛⲉ ⲛⲛⲉϥϭⲓϫ ϩⲓⲡⲁϩⲟⲩ ⲙⲙⲟϥ ·,"And the Duke commanded his servants to fasten the hands of Apa Victor behind him,",martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.05.conllu,2737,2759
ⲛⲧⲁϥⲡⲱⲧ ⲇⲉ ⲁⲛ ⲛⲥⲁⲡⲧⲁⲉⲓⲟ · ⲁⲗⲗⲁ ⲛⲧⲁⲡⲧⲁⲓⲟ · ⲡⲱⲧ ⲛⲥⲱϥ · ⲉⲁⲛⲉⲛⲧⲁⲩϭⲟⲡϥ ϩⲟⲙⲟⲗⲟⲅⲉⲓ ⲛⲁⲛ · ϫⲉⲁϥϩⲟⲙⲟⲗⲟⲅⲉⲓ ⲛⲁⲛ ϩⲛⲧⲉϥⲧⲁⲡⲣⲟ ·,"Now it was not he who ran in pursuit of the honour, but it was the honour which ran in pursuit of him, even as those who discovered him confessed unto us, saying, 'He confessed thus to us with his own mouth:",life-pisentius/life.pisentius_CONLLU/life.pisentius.01.conllu,10338,10388
ⲁⲓⲃⲁⲡⲧⲓⲍⲉ ⲇⲉ ⲙⲡⲕⲉⲏⲓ ⲛⲥⲧⲉⲫⲁⲛⲁ ⲙⲛⲛⲥⲱⲥ ϭⲉ ⲛϯⲥⲟⲟⲩⲛ ⲁⲛ ϫⲉ ⲁⲓⲃⲁⲡⲧⲓⲍⲉ ⲛϭⲉ .,"(I also baptized the household of Stephanas; besides them, I don't know whether I baptized any other.)",coptic-treebank/coptic.treebank_CONLLU/1Cor_01.conllu,588,618
ⲧⲉⲛⲟⲩ ϭⲉ ⲛⲟⲩⲇⲓⲕⲁⲓⲟⲛ ⲡⲉ ⲉⲓⲣⲉ ⲕⲥⲕⲁⲛⲇⲁⲗⲓⲍⲉ ⲙⲡⲗⲁⲟⲥ ⲛⲧⲁⲡⲛⲟⲩⲧⲉ ⲕⲁⲑⲓⲥⲧⲁ ⲙⲙⲟⲕ ⲉϫⲱϥ ·,"Now, therefore, is it a right thing for thee to cause a scandal among the people over whom God hath set thee?'",coptic-treebank/coptic.treebank_CONLLU/psflavianus.encomium.01.conllu,3060,3087
ⲁⲩⲱ ⲛⲧⲟϥ ⲡⲉ ⲛⲧⲁϥϯ ⲛⲁⲓ ⲛⲧⲁⲥϩⲓⲙⲉ ⲙⲛⲛⲁϣⲏⲣⲉ · ⲁϥⲃⲟⲏⲑⲉⲓ ⲉⲣⲟⲛ ⲕⲁⲧⲁⲧϩⲉ · ⲛⲧⲁϥϫⲟⲟⲥ ⲛⲁⲓ ⲙⲡⲁⲧⲓϫⲓⲃⲁⲡⲧⲓⲥⲙⲁ ⲉⲡⲉϥⲣⲁⲛ ·,"He it is Who hath given to me my wife and my sons, and hath helped me according to what He spake to me before I received baptism in His Name.",life-eustathius-theopiste/life.eustathius.theopiste_CONLLU/life.eustathius.theopiste.02.conllu,5815,5863
ⲁⲩϫⲟⲟⲥ ϫⲉϩⲙⲡⲧⲟⲟⲩ ⲛⲁⲡⲁ ⲁⲛⲧⲱⲛⲓⲟⲥ · ⲉⲛⲉⲩϩⲙⲟⲟⲥ ⲡⲉ ⲛϭⲓⲥⲁϣϥ ⲛⲥⲟⲛ,It was said that on the Mountain of Antony seven brothers dwelt.,AP/apophthegmata.patrum_CONLLU/ap.091.n277.birds.conllu,5,31
ⲁⲣⲏⲩ ⲉⲕⲗⲩⲡⲉⲓ · ϫⲉⲙⲡⲉⲓϫⲓ ⲛⲁⲕ ⲛⲧⲉⲕϣⲉⲗⲉⲉⲧ ·,Perhaps thou art grief-stricken because I have not taken for thee to wife thy bride,martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.02.conllu,1543,1561
ⲁⲩϥⲓϩⲣⲁⲩ ⲇⲉ ⲉⲃⲟⲗ ⲁⲩⲣⲓⲙⲉ ⲁⲩⲱ ⲟⲣⲫⲁ ⲁⲥⲁⲥⲡⲁⲍⲉ ⲛⲧⲉⲥϣⲱⲙⲉ ⲁⲥⲕⲧⲟⲥ ⲉϩⲣⲁⲓ ⲉⲡⲉⲥⲗⲁⲟⲥ ϩⲣⲟⲩⲑ ⲇⲉ ⲁⲥⲟⲩⲁϩⲥ ⲛⲥⲁⲧⲉⲥϣⲱⲙⲉ,"And they lifted up their voice, and wept again; and Orpha kissed her mother-in-law and returned to her people; but Ruth followed her.",coptic-treebank/coptic.treebank_CONLLU/Ruth_01.conllu,734,776
ⲡⲉⲡⲛⲉⲩⲙⲁ ⲙⲉⲛ ϯⲟⲩⲃⲉⲧⲥⲁⲣⲝ · ⲉϥϥⲱⲧⲉ ⲛⲧⲉⲡⲏⲑⲩⲙⲓⲁ ⲙⲡⲕⲟⲥⲙⲟⲥ ϩⲓⲧⲛⲧϩⲉⲗⲡⲓⲥ ⲛⲧⲙⲛⲧⲣⲣⲟ ⲛⲙⲡⲏⲩⲉ ·,"Now the spirit warreth against the flesh, and it bringeth into subjection the lust of this world through the hope of the kingdom which is in the heavens.",john-constantinople/john.constantinople_CONLLU/penitence.01.conllu,12760,12793
ⲁⲩⲱ ⲟⲛ ⲉⲁⲩⲥⲙⲟⲩ ⲉⲟⲩⲟⲛ ⲛⲓⲙ ⲛⲧⲁⲩϯⲉⲟⲟⲩ ⲙⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ϩⲛⲛⲉⲩϩⲃⲏⲩⲉ ⲛⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ ·,"And also they bless everyone who gives glory to the Lord God by their just works,",abraham/shenoute.abraham_CONLLU/YA547-550.conllu,962,992
ⲟⲩⲇⲉ ⲙⲡⲟⲩϭⲁⲓⲟ ⲉⲃⲟⲗ ⲙⲡⲧⲩⲣⲁⲛⲛⲟⲥ ⲉⲛⲉϩ ϫⲉⲟⲩⲁⲧⲉⲓⲱⲧ ⲡⲉ ⲕⲁⲧⲁⲥⲁⲣⲝ ·,"Never before was one who was without a father, according to the flesh, condemned to death by the governor.",coptic-treebank/coptic.treebank_CONLLU/proclus.13.easter.conllu,475,494
ⲙⲧⲉⲩⲛⲟⲩ ⲁⲩⲃⲱⲕ ⲛϭⲓⲛⲕⲉⲥⲧⲱⲛⲁⲣⲓⲟⲥ · ⲁⲩⲱ ⲛⲧⲉⲣⲟⲩⲁⲙⲁϩⲧⲉ ⲙⲙⲟϥ · ⲁⲩⲣⲃⲗⲗⲉ ·,and straightway the soldiers departed (to fetch him). And when they laid their hands upon him they became blind.,martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.07.conllu,2996,3022
ⲙⲡⲉⲧⲉⲧⲛⲛⲟϫϥ ⲉⲃⲟⲗ ⲙⲡⲉⲓⲙⲁ · ⲙⲛϣϭⲟⲙ ⲙⲙⲟⲓ ⲉⲡⲁⲣⲁⲅⲉ ⲙⲡⲙⲁ · ⲉⲧⲉⲣⲉⲡⲁⲓ ⲛϩⲏⲧϥ ·,for unless ye cast him forth from this place I shall not be able to pass by the spot wherein he is.',life-john-kalybites/life.john.kalybites_CONLLU/life.john_kal.02.conllu,2537,2568
ϯⲱⲣⲕ ⲉⲣⲟⲕ ⲉⲛⲛⲁⲏⲗ ⲡⲁⲓ ⲉⲧⲉⲣⲉⲧⲉϥⲟⲩⲛⲁⲙⲧⲁⲗⲏⲩ ⲉϩⲣⲁⲓ ⲉϫⲛⲡⲁⲣⲙⲁ ⲛⲡⲉⲓⲱⲧ ⲉⲧⲟⲩⲁⲁⲃ ⲙⲛⲁⲥⲁⲣⲱⲑ ⲡⲛⲟϭ ⲛⲭⲉⲣⲟⲩⲃⲓⲛ ⲡⲁⲓ ⲉⲧⲣⲟⲉⲓⲥ ⲉⲧⲉⲥⲕⲏⲛⲏ ⲛⲡⲉⲓⲱⲧ ⲡⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ,"I adjure you (s.), Ennaēl, he whose right hand is lifted over the chariot of the holy Father, and Asarōth, the great cherub, he who guards the tabernacle of the almighty Father!",magical-papyri/magical.papyri_CONLLU/p_CtYBR_1800.conllu,13,61
ⲁⲩⲱ ⲁϥⲁⲗⲉ ⲉⲡϫⲟⲉⲓ ⲛⲙⲙⲁⲩ ⲁⲡⲧⲏⲩ ⲗⲟ ⲉⲃⲟⲗ . ⲁⲩⲣϣⲡⲏⲣⲉ ⲇⲉ ⲉⲙⲁⲧⲉ,"He got into the boat with them; and the wind ceased, and they were very amazed among themselves, and marveled;",coptic-treebank/coptic.treebank_CONLLU/Mark_06.conllu,2231,2255
ⲙⲁⲣⲛϣⲗⲏⲗ ⲉϩⲣⲁⲓ ⲉⲡⲛⲟⲩⲧⲉ ·,Let us offer up prayer to God',martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.06.conllu,547,556
ⲥⲉⲛⲁⲥⲟϣϥ ⲛⲥⲉⲧϭⲁⲓⲟϥ ⲉⲧⲃⲏⲏⲧⲕ ·,They shall treat Him with contempt and vilify Him for thy sake.,pseudo-timothy/pseudo.timothy_CONLLU/on_abbaton.02.conllu,1271,1283
ⲁⲩⲱ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲉⲛⲧⲁϥⲥⲟⲛⲧϥ ·,and it is God Who instituted marriage,coptic-treebank/coptic.treebank_CONLLU/psflavianus.encomium.01.conllu,2619,2630
ⲧⲛⲡⲏⲧ ⲉⲃⲟⲗ ⲛⲛⲥⲁⲣⲕⲓⲕⲟⲛ · ⲡⲁⲗⲓⲛ ⲟⲛ ⲧⲛϣⲓⲛⲉ ⲛⲥⲁⲧⲉⲩⲙⲟⲧⲛⲉⲥ ·,"and though we flee from the things which appertain to the flesh, we yet seek after bodily ease and comfort.",pseudo-ephrem/pseudo.ephrem_CONLLU/psephrem.asceticon.01.conllu,3919,3937
ⲁϥϥⲓ ⲙⲡⲉϥⲕⲗⲟⲙ ϩⲓϫⲱϥ · ⲁϥⲧⲁⲁϥ ⲉϫⲛⲧⲁⲡⲉ ⲙⲡⲁⲡⲟⲗⲗⲱⲛ · ⲁϥⲟⲩⲱϣⲧ ⲛⲁϥ ⲛϣⲟⲙⲛⲧ ⲛⲥⲟⲡ ⲉϥϫⲱ ⲙⲙⲟⲥ ·,"and he lifted his crown off his head, and set it upon the head of [the statue of] Apollo, and he bowed down and worshipped it three times, saying,",coptic-treebank/coptic.treebank_CONLLU/martyrdom.victor.01.conllu,1010,1056
ⲗⲟⲓⲡⲟⲛ ⲉϣϫⲉ ⲕⲟ ⲛⲁⲧⲥⲟⲟⲩⲛ ⲉⲡⲁⲓ ϣⲁϩⲟⲩⲛ ⲉⲧⲉⲛⲟⲩ ⲉⲓⲉ ⲉⲓⲙⲉ ⲛⲁⲕ ϫⲉⲁⲧⲙⲛⲧϣⲁⲛϩⲏⲧϥ ⲙⲡⲛⲟⲩⲧⲉ ⲭⲁⲣⲓⲍⲉ ⲙⲙⲟⲛ ⲛⲛⲉⲛⲉⲣⲏⲩ ·,"If thou hast not up to the present known this, then know well that it was the loving-kindness of God that hath given us to each other.",life-eustathius-theopiste/life.eustathius.theopiste_CONLLU/life.eustathius.theopiste.02.conllu,4960,4998
ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉⲙⲛⲡⲉⲧⲧⲛⲧⲱⲛ ⲉⲣⲟⲓ ϥⲛⲁⲥⲱⲧⲙ ⲧⲉⲛⲟⲩ ⲉⲡⲉϥϫⲡⲓⲟ · ϫⲉⲕⲛⲁⲃⲱⲕ ⲉⲡⲉⲥⲏⲧ ⲉⲁⲙⲛⲧⲉ ⲥⲉⲛⲁⲛⲟϫⲕ · ⲙⲛⲛⲉⲧⲙⲟⲟⲩⲧ ⲥⲉⲛⲁⲡⲱⲣϣ ϩⲁⲣⲟⲕ ⲛⲟⲩϫⲟⲟⲗⲥ ⲛⲥⲉϩⲟⲃⲥⲕ ⲛⲟⲩϥⲛⲧ ·,"There is no one who can be compared with me,' let him hear now his Creator, saying, 'Thou shalt go down into Amente. They shall cast thee down with the dead, the worms shall gnaw pieces from thy body, and the Worm shall envelop thee.'",pachomius-instructions/pachomius.instructions_CONLLU/pachomius.instructions.01.conllu,1910,1980
ⲉⲥϫⲡⲉ ⲁⲓⲟⲩⲱ · ⲉⲓϩⲉ ⲉϩⲣⲁⲓ ⲉϫⲙⲡⲁϩⲟ ·,"It (i.e. his look) made me powerless, and I was about to fall upon my face.'",life-pisentius/life.pisentius_CONLLU/life.pisentius.02.conllu,8663,8681
ⲧⲁⲓ ⲧⲉ ⲧϩⲉ ⲛⲧⲁϥⲁⲁⲥ ⲛϭⲓⲁⲭⲁⲃ ⲛⲧⲉⲣⲉϥⲙⲕⲁϩ ⲛϩⲏⲧ ·,This is what Ahab did when he was in sorrow:,john-constantinople/john.constantinople_CONLLU/penitence.01.conllu,1227,1248
ⲁⲓⲉⲓ ⲇⲉ ⲉⲃⲟⲗ ⲉⲕⲏⲙⲉ ⲛⲟⲩϩⲓⲏ · ⲛϣⲟⲙⲛⲧ ⲛϩⲟⲟⲩ ⲙⲙⲟⲟϣⲉ ·,"And I came into Egypt after a journey of three days,",life-onnophrius/life.onnophrius_CONLLU/life.onnophrius.04.conllu,1979,2002
ⲕⲁⲧⲁⲕⲁⲓⲣⲟⲥ ⲱϣ ⲛⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ϩⲛⲛⲉⲅⲣⲁⲫⲏ ⲉⲧⲟⲩⲁⲁⲃ ·,"From time to time, and at all times, rehearse the Holy | Scriptures,",john-constantinople/john.constantinople_CONLLU/penitence.02.conllu,5446,5461
ⲧⲟⲧⲉ ⲁϥⲁⲣⲭⲉ ⲛϭⲓⲡⲇⲓⲁⲃⲟⲗⲟⲥ ⲉⲉⲓⲛⲉ ⲉϩⲣⲁⲓ ⲛⲟⲩⲭⲁⲣⲧⲏⲥ ·,"Then the Devil began to produce a written letter,",martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.05.conllu,3850,3867
ⲙⲡⲉⲓⲙⲁ ⲕⲁⲛ ⲉⲣϣⲁⲛⲡⲥⲱⲙⲁ ⲣⲱⲕϩ · ϣⲁⲣⲉⲧⲉⲯⲩⲭⲏ ⲉⲓ ⲉⲃⲟⲗ ⲉⲥⲟ ⲛⲁⲧⲧⲁⲕⲟ ·,"In this world, if the body burnetii, the soul cometh forth therefrom, and it existeth undestroyed.",john-constantinople/john.constantinople_CONLLU/penitence.01.conllu,5802,5826
ⲁⲩⲱ ⲥⲟⲟⲩ ⲛⲉⲃⲟⲧ . ⲉⲩϭⲱϣⲧ ⲉⲟⲩⲛⲁⲛ ⲉⲩϫⲱⲕ ⲉⲃⲟⲗ ⲛⲛⲉⲩⲁⲡⲟⲧⲉⲗⲉⲥⲙⲁ ·,"and six months, looking to the Right (hand) fulfilling their influences:",pistis-sophia/pistis.sophia_CONLLU/pistis.sophia_book_1_part2.conllu,3792,3815
ⲉⲣⲉⲡⲉⲧⲛⲟⲩⲣⲟⲧ ϫⲱⲕ ⲉⲃⲟⲗ · ⲙⲡⲙⲉⲣⲟⲥ ⲉⲧⲛϣⲁⲁⲧ ⲙⲙⲟϥ ·,and such portion as we lack our own ready mind shall make complete.,pseudo-chrysostom/pseudo.chrysostom_CONLLU/on_susanna.conllu,227,245
ⲁⲕϣⲱⲡⲉ ⲙⲡⲓⲥⲧⲟⲥ ϩⲛⲧⲉⲛⲅⲉⲛⲉⲁ · ⲁⲩⲱ ⲛⲇⲓⲕⲁⲓⲟⲥ ϩⲛⲛⲉⲛϩⲟⲟⲩ ⁛—,"Thou wast a man who was a believer in our generation, and a man who was righteous in our days.",life-pisentius/life.pisentius_CONLLU/life.pisentius.02.conllu,5543,5563
ⲧⲉⲥϩⲓⲙⲉ ⲇⲉ ⲁϥⲧⲁⲗⲟⲥ ⲉⲡϫⲟⲉⲓ ⲁϥⲛⲧⲥ ⲉⲣⲁⲧⲥ · ⲁϥⲕⲱⲡ ⲙⲁⲁⲃⲧⲁⲥⲉⲛϩⲟⲗⲟⲕⲟⲧϯⲛⲟⲥ ⲛⲧⲟⲟⲧⲥ ϩⲓⲡϫⲟⲉⲓ ·,"Now he put the woman again into the boat in which he brought her,^ and he hid thirty-six 'holokottinoi' in the boat . . . with her ;",life-pisentius/life.pisentius_CONLLU/life.pisentius.03.conllu,6579,6617
ⲁⲩⲱ ⲛⲧⲉⲣⲟⲩϩⲱⲛ ⲉϩⲟⲩⲛ ⲉⲧϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ ⲉⲃⲏⲧⲫⲁⲅⲏ ⲙⲛⲃⲏⲑⲁⲛⲓⲁ . ϩⲁϩⲧⲉⲡⲧⲟⲟⲩ ⲛⲛϫⲟⲉⲓⲧ ⲁϥϫⲉⲩⲥⲛⲁⲩ ⲛⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ,"When they drew near to Jerusalem, to Bethsphage and Bethany, at the Mount of Olives, he sent two of his disciples,",sahidica.mark/sahidica.mark_CONLLU/Mark_11.conllu,5,38
ⲁⲓⲟⲩⲱϣⲃ · ⲡⲉϫⲁⲓ ⲛⲁϥ ϫⲉⲡⲁⲉⲓⲱⲧ · ⲁⲛⲟⲣⲅⲁⲛⲱⲛ ⲙⲙⲟⲟⲩ · ϣⲟⲟⲩⲉ ϫⲓⲛⲛϫⲡϣⲟⲙⲧⲉ ⲛⲥⲁϥ · ⲁⲩⲱ ⲙⲛⲗⲁⲁⲩ ⲙⲙⲟⲟⲩ ϩⲛⲛⲉⲛⲙⲁ ⲛϣⲱⲡⲉ ·,"And I answered and said unto him, 'My father, the water-pots have been empty and dried up for the last three days, and there is no water at all in our place of abode.",life-pisentius/life.pisentius_CONLLU/life.pisentius.02.conllu,3163,3211
ⲟⲩ ⲡⲉⲧⲕⲛⲁⲁϥ ⲛⲧⲉⲩⲛⲟⲩ · ⲉⲧⲙⲙⲁⲩ · ⲉⲕⲣⲓⲙⲉ · ⲛⲥⲉⲛⲁϫⲓⲣⲓⲙⲉ ⲁⲛ ⲛⲧⲟⲟⲧⲕ · ⲉⲕⲥⲟⲡⲥⲡ ⲛⲥⲉⲛⲁϫⲓⲥⲟⲡⲥⲡ ⲛⲧⲟⲟⲧⲕ ⲁⲛ · ⲉⲃⲟⲗ ϫⲉϩⲉⲛⲁⲧⲛⲁ ⲛⲉ ⲛⲉⲛⲧⲁⲩⲧⲁⲁⲕ ⲉⲧⲟⲟⲧⲟⲩ ·,"What wilt thou do in that hour? Thou wilt weep, but they will not accept weeping from thee. Thou wilt make supplication, but they will not accept supplication from thee because the beings into whose hands thou shalt be given are merciless.",pachomius-instructions/pachomius.instructions_CONLLU/pachomius.instructions.02.conllu,624,686
ⲁϥϫⲟⲟⲩ ⲛⲟⲩⲧⲣⲓⲃⲟⲩⲛⲟⲥ · ⲙⲛϩⲉⲛⲙⲁⲧⲟⲓ ⲉϩⲟⲩⲛ ⲉⲣⲁⲕⲟⲧⲉ ⲉⲧⲣⲉⲩϥⲓ ⲛⲧⲁⲡⲉ ⲙ ⲫⲁⲅⲓⲟⲥ ⲡⲉⲧⲣⲟⲥ ·,"And he sent a tribune and soldiers into Rakote to cut off the head of Saint Peter,",pseudo-flavianus/pseudo.flavianus_CONLLU/psflavianus.encomium.02.conllu,4818,4847
ⲛⲧⲉⲣⲟⲩϣⲗⲏⲗ ⲇⲉ ⲁⲩϩⲙⲟⲟⲥ ·,"When they had prayed, and were seated,",coptic-treebank/coptic.treebank_CONLLU/psflavianus.encomium.01.conllu,4106,4115
ⲙⲛⲛⲥⲁϣⲟⲙⲛⲧ ⲇⲉ ⲛϩⲟⲟⲩ ⲁⲡⲣⲣⲟ ⲁⲥⲉⲃⲏⲥ ⲁⲇⲣⲓⲁⲛⲟⲥ ⲉⲓ ⲉⲡⲙⲁ ⲛⲧⲁⲛⲉⲧⲟⲩⲁⲁⲃ ϫⲱⲕ ⲉⲃⲟⲗ ⲛϩⲏⲧϥ ·,"And after three days the wdcked Emperor Hadrian came to the place wherein the saints had finished (their fight),",life-eustathius-theopiste/life.eustathius.theopiste_CONLLU/life.eustathius.theopiste.02.conllu,7084,7113
ⲁϫⲓⲥ ϩⲱⲱⲕ ⲛⲧϩⲉ ⲛⲇⲁⲩⲉⲓⲇ ϫⲉϯⲛⲁϫⲱⲕⲙ ⲙⲡⲁϭⲗⲟϭ ⲕⲁⲧⲁⲟⲩϣⲏ ⲟⲩϣⲏ ·,"Though thyself shalt say even as did David, 'Night after night I wash my bed,",john-constantinople/john.constantinople_CONLLU/penitence.01.conllu,1358,1384
ⲁⲩⲱ ⲉⲣϣⲁⲛⲡⲛⲟⲩⲧⲉ ⲣϩⲛⲁϥ ⲉⲓⲟⲩⲱϣ ⲉⲃⲱⲕ ⲉⲧϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ ⲛⲧⲁϣⲗⲏⲗ ⲙⲙⲁⲩ ϩⲙⲡⲙⲁ ⲉⲧⲟⲩⲁⲁⲃ · ⲁⲩⲱ ϩⲙⲡⲟⲩⲱϣ ⲙⲡⲛⲟⲩⲧⲉ · ϯⲛⲁⲕⲧⲟⲓ ⲉⲡⲁⲙⲁ ⲛⲕⲉⲥⲟⲡ ·,"And if God pleaseth I wish to go to Jerusalem so that I may pray there in the Holy Place, and, by the will of God, I will return again to my place.",coptic-treebank/coptic.treebank_CONLLU/life.john_kal.01.conllu,606,662
ⲁϣ ⲡⲉ ⲡⲉⲕⲕⲁⲧⲟⲣⲑⲱⲙⲁ ⲉⲛⲧⲁⲕϫⲡⲟϥ ⲛⲁⲕ ·,"and what kind of success it is which thou hast acquired for thyself,",john-constantinople/john.constantinople_CONLLU/penitence.01.conllu,10091,10105
ⲧⲟⲧⲉ ⲁϥⲣⲓⲙⲉ ⲛϭⲓⲡϩⲗⲗⲟ ⲛⲁⲣⲭⲓⲙⲁⲛⲇⲣⲓⲧⲏⲥ ⲉⲧⲃⲉⲡⲙⲁⲕⲁⲣⲓⲟⲥ ⲓⲱϩⲁⲛⲛⲏⲥ ϫⲉⲁⲣⲏⲩ ϥⲛⲁⲕⲧⲟϥ ⲉⲃⲟⲗ ⲛⲧϩⲩⲡⲟⲙⲟⲛⲏ ·,"Then the old man, the Archimandrite, wept for the blessed man John, because he thought that perhaps he might turn aside from his patient endurance.",life-john-kalybites/life.john.kalybites_CONLLU/life.john_kal.02.conllu,491,521
ⲉⲡⲉⲓⲇⲏ ⲉϣⲁⲣⲉⲓⲏⲥⲟⲩⲥ ϫⲟⲟⲥ ⲉⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ ϫⲉⲡⲙⲩⲥⲧⲏⲣⲓⲟⲛ ⲉⲧⲙⲙⲁⲩ ⲛⲧⲟϥ ⲡⲉⲧⲕⲱⲧⲉ ⲉⲛⲓⲡⲧⲏⲣϥ ·,since Jesus is wont to say unto his disciples that that Mystery (is) that which surroundeth the Universe,pistis-sophia/pistis.sophia_CONLLU/pistis.sophia_book_1_part1.conllu,1298,1327
ⲁⲩⲱ ϯϫⲱ ⲙⲙⲟⲥ ⲛⲁⲕ ϫⲉⲉⲡⲉⲓⲇⲏ ⲡⲉⲓⲣⲱⲙⲉ ⲡⲁⲓ ⲛⲧⲁⲕϫⲓⲥⲙⲟⲩ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧϥ · ⲡⲁⲓ ⲡⲉ ϩⲏⲗⲓⲁⲥ · ⲡⲉⲑⲉⲥⲃⲩⲧⲏⲥ ⲡⲁⲡⲧⲟⲟⲩ ⲙⲡⲕⲁⲣⲙⲏⲗⲟⲥ,"And I say unto thee that this very man, from whom thou didst receive a blessing, is Elijah the Tishbite, who belongeth to Mount Carmel.",life-pisentius/life.pisentius_CONLLU/life.pisentius.01.conllu,4176,4217
ⲡⲉϫⲁϥ ⲛⲁⲓ ϫⲉⲉⲓⲥϩⲏⲏⲧⲉ ⲁⲕⲟⲩϫⲁⲓ ⲙⲡⲣⲕⲟⲧⲕ ⲉⲣⲛⲟⲃⲉ ϫⲉⲛⲛⲉⲡⲉⲧϩⲟⲟⲩ ⲉⲡⲁⲓ ϣⲱⲡⲉ ⲙⲙⲟⲕ · ⲁⲗⲗⲁ ⲁⲣⲓϩⲙϩⲁⲗ ⲙⲡϫⲟⲉⲓⲥ · ϫⲓⲛⲧⲉⲛⲟⲩ ϣⲁⲉⲛⲉϩ ·,"and he said unto me, “Behold, thou art healed. Sin not again, lest evil more severe than this come upon thee. But make thyself a servant of God from this time for ever.”",coptic-treebank/coptic.treebank_CONLLU/life.onnophrius.01.conllu,2573,2621
ⲙⲡⲣⲙⲟⲟϣⲉ ϩⲛⲟⲩⲉⲡⲓⲥⲧⲏⲙⲉⲓ ⲙⲡϩⲟⲟⲩ ⲣⲁⲥⲧⲉ ϩⲱⲱϥ ⲛⲅⲙⲟⲟϣⲉ ϩⲛⲟⲩⲃⲱⲗ ⲉⲃⲟⲗ ⁛—,"Walk not to-day with excessive prudence, or tomorrow thou wilt certainly walk to destruction.",pseudo-ephrem/pseudo.ephrem_CONLLU/psephrem.asceticon.01.conllu,2660,2684
ⲁⲓⲉⲓⲙⲉ ⲅⲁⲣ ϩⲓⲧⲛⲛⲉⲛⲧⲁⲕϫⲟⲟⲩ ϫⲉⲛⲧⲟⲕ ⲡⲉ ⲡⲁϫⲟⲉⲓⲥ ⲛⲥⲟⲛ · ⲉⲃⲟⲗ ϫⲉⲛⲧⲁⲩⲥⲁⲛⲟⲩϣⲧ ϩⲱⲱⲧ ϩⲓⲧⲛϩⲉⲛϣⲟⲟⲥ ⲉⲁⲩϫⲟⲟⲥ ⲉⲣⲟⲓ ϫⲉⲛⲧⲁⲩϥⲓⲧⲕ ⲛⲧⲟⲟⲧϥ ⲛⲟⲩⲱⲛϣ,"For from what thou hast said I know that thou art my lord brother, because I myself was brought by the shepherds who told me that I had been snatched away from the claws of the wolf;",life-eustathius-theopiste/life.eustathius.theopiste_CONLLU/life.eustathius.theopiste.02.conllu,3716,3775
